date,name
2030-08-15,LIBERATION_DAY
2030-09-11,CHUSEOK_B
2030-09-12,CHUSEOK
2030-09-13,CHUSEOK_A
2030-10-03,NATIONAL_FOUNDATION_DAY
2030-12-25,CHRISTMAS
2031-01-01,NEW_YEARS_DAY
2031-01-22,SEOLLAL_B
2031-01-23,SEOLLAL
2031-01-24,SEOLLAL_A
2031-03-01,INDEPENDENCE_MOVEMENT_DAY
2031-05-01,LABOUR_DAY
2031-05-05,CHILDRENS_DAY
2031-05-28,BUDDHAS_BIRTHDAY
2031-06-06,MEMORIAL_DAY
2031-08-15,LIBERATION_DAY
2031-09-30,CHUSEOK_B
2031-10-01,CHUSEOK
2031-10-02,CHUSEOK_A
2031-10-03,NATIONAL_FOUNDATION_DAY
2031-12-25,CHRISTMAS
2032-01-01,NEW_YEARS_DAY
2032-02-10,SEOLLAL_B
2032-02-11,SEOLLAL
2032-02-12,SEOLLAL_A
2032-03-01,INDEPENDENCE_MOVEMENT_DAY
2032-05-01,LABOUR_DAY
2032-05-05,CHILDRENS_DAY
2032-05-16,BUDDHAS_BIRTHDAY
2032-06-06,MEMORIAL_DAY
2032-08-15,LIBERATION_DAY
2032-09-18,CHUSEOK_B
2032-09-19,CHUSEOK
2032-09-20,CHUSEOK_A
2032-09-21,Alternative
2032-10-03,NATIONAL_FOUNDATION_DAY
2032-12-25,CHRISTMAS
2033-01-01,NEW_YEARS_DAY
2033-01-30,SEOLLAL_B
2033-01-31,SEOLLAL
2033-02-01,SEOLLAL_A
2033-02-02,Alternative
2033-03-01,INDEPENDENCE_MOVEMENT_DAY
2033-05-01,LABOUR_DAY
2033-05-05,CHILDRENS_DAY
2033-05-06,BUDDHAS_BIRTHDAY
2033-06-06,MEMORIAL_DAY
2033-08-15,LIBERATION_DAY
2033-09-07,CHUSEOK_B
2033-09-08,CHUSEOK
2033-09-09,CHUSEOK_A
2033-10-03,NATIONAL_FOUNDATION_DAY
2033-12-25,CHRISTMAS
2034-01-01,NEW_YEARS_DAY
2034-02-18,SEOLLAL_B
2034-02-19,SEOLLAL
2034-02-20,SEOLLAL_A
2034-02-21,Alternative
2034-03-01,INDEPENDENCE_MOVEMENT_DAY
2034-05-01,LABOUR_DAY
2034-05-05,CHILDRENS_DAY
2034-05-25,BUDDHAS_BIRTHDAY
2034-06-06,MEMORIAL_DAY
2034-08-15,LIBERATION_DAY
2034-09-26,CHUSEOK_B
2034-09-27,CHUSEOK
2034-09-28,CHUSEOK_A
2034-12-25,CHRISTMAS
2035-01-01,NEW_YEARS_DAY
2035-02-07,SEOLLAL_B
2035-02-08,SEOLLAL
2035-02-09,SEOLLAL_A
2035-03-01,INDEPENDENCE_MOVEMENT_DAY
2035-05-01,LABOUR_DAY
2035-05-05,CHILDRENS_DAY
2035-05-07,Alternative
2035-05-15,BUDDHAS_BIRTHDAY
2035-06-06,MEMORIAL_DAY
2035-08-15,LIBERATION_DAY
2035-09-15,CHUSEOK_B
2035-09-16,CHUSEOK
2035-09-17,CHUSEOK_A
2035-09-18,Alternative
2035-12-25,CHRISTMAS
2036-01-01,NEW_YEARS_DAY
2036-01-27,SEOLLAL_B
2036-01-28,SEOLLAL
2036-01-29,SEOLLAL_A
2036-01-30,Alternative
2036-03-01,INDEPENDENCE_MOVEMENT_DAY
2036-05-01,LABOUR_DAY
2036-05-03,BUDDHAS_BIRTHDAY
2036-05-05,CHILDRENS_DAY
2036-06-06,MEMORIAL_DAY
2036-08-15,LIBERATION_DAY
2036-10-03,CHUSEOK_B
2036-10-04,CHUSEOK
2036-10-05,CHUSEOK_A
2036-10-06,Alternative
2036-12-25,CHRISTMAS
2037-01-01,NEW_YEARS_DAY
2037-02-14,SEOLLAL_B
2037-02-15,SEOLLAL
2037-02-16,SEOLLAL_A
2037-02-17,Alternative
2037-03-01,INDEPENDENCE_MOVEMENT_DAY
2037-05-01,LABOUR_DAY
2037-05-05,CHILDRENS_DAY
2037-05-22,BUDDHAS_BIRTHDAY
2037-06-06,MEMORIAL_DAY
2037-08-15,LIBERATION_DAY
2037-09-23,CHUSEOK_B
2037-09-24,CHUSEOK
2037-09-25,CHUSEOK_A
2037-12-25,CHRISTMAS
2038-01-01,NEW_YEARS_DAY
2038-02-03,SEOLLAL_B
